kelime,anlam
acer,taze
ağar,eğer
ağrice,hıdırellez
anadut,üç parmaklı tarım aleti
avurt,ağzın yan boşlukları (avurdunu şişirme)
baba yiyeysice,çocuklara kızınca söylenen söz
babaa,zıkkım olsun
bıdık,küçük yumurta
bıldır,geçen yıl
bıyıl,bu sene
bibi,hala
bigoşam,bir avuç
boğön,bugün
boğür,vücudun yarı kısmı
boo,hayret sözü
börttürmek,bir şeyi haşlamak
bulama,un çorbası veya yayla çorbası
büngüldeme,kaynama
bürük,kadın baş örtüsü
cımbıldama,oynaklık etmek. (mayası cımbıldamak)
coruk,i̇nat
culuk,hindi
çalgı,süpürge
çalkama,ayran
çatal kapı,i̇ki kanatlı avlu kapısı
deey daha,i̇şte orada
deşirici,dilenci
dinelmek,ayakta durma
dombalak,takla atma
dölek dur,akıllı uslu durmak
dulluk,favori (kulak yanında uzanan saç)
elbiz,örümcek
emmi,amca
essah,doğru
evrağaç,yufka ekmeği çeviren ahşap yassı tahta
ferfene,topluca yenen eğlenceli yemek
fışkı,gübre
fos,boş
geliyrum,geliyorum
söyliyrum,söylüyorum
gambak,ufak ağaç parçası
ganara,doymak bilmeyen
garalt,söndür
gavurga,buğdayın saçta pişirilmesi
gicişme,kaşınma
gobel,erkek çocuk
gobelek,mantar
goğ,dedikodu
gop,koş
guşene,büyük tencere
haft,su birikmiş beton havuz
helle,un çorbası
herslenmek,sinirlenmek
horanta,ev halkı
hortuklu,sümüklü
icık,az
irgalamak,i̇lgilenmek
i̇çli,yufkadan yapılan börek
i̇dare,huni gibi ilkel aydınlanma aracı
i̇lâğan,leğen
i̇listir,kevgir
kafa kekmek,evet anlamına başını eğmek
karık,bahçede ekim için oluşturulan alan
kavurga,kavrulmuş buğday
kıhak,keçi dışkısı
kişkillemek,i̇te saldırı için söylenen söz
koşam,i̇ki eli birleştirerek oluşturulan çukurluk
kumük,ön dişleri çürük olan
le mi,değil mi?
loğtaşı,dam toprağını sıkıştıran silindir şeklinde taş
maarisem,meğerse
mahana,bahane
makat,sedir
malamat etmek,rezil etmek
mavgunat,römork
mayası cımbıldak,gerçek kişiliğini gösterme
meses,ucu çivili sopa
mılcıma,çürüme
milek,kokuşmuş çamur; balçık
nahas,ne şekilde
nodul,sopa ucundaki çivi (nodullamak : rahatsız etmek)
noorek,ne yapalım
oğnük,önlük
omaç,yumurtalı ekmekli yağlı yemek
öpçelenmek,bir şeyi fazla uzatmak
öpçe,şımarık
öz,küçük akarsu
pehli,koyunun kaburga ve beli arasındaki et parçası
pel pel bakmak,aptalca bakmak
peşkir,havlu
pırtma,hedefi şaşırmak
pöhrek,tuğla gibi pişmiş topraktan yapılan su yolu
pörtlek,dışa taşan iri göz
pürçüklü,havuç
Aca,Acaba
Afgurmak,Havlamak
Aha,İşte
Amofti (homarta),Yabani yer çileği
Analis,Yumuşama
Ander,Değersiz
Angona,Zehirsiz kısa boyda bir yılan türü
Anis,Yüksek kesimlerde yetişen bodur bir ağaç türü
Aşana,Köy evlerindeki geniş yeme-içme yeri
Avat,Geniş yapraklı bir tür diken
Ayam,Hava durumu
Badama,Köy evlerinin önündeki sofa
Bakla,Fasulye
Bakraç,Kova
Bansi,Hayvan yemliği
Behrenk,Üstü örtülü su kanalı
Berinnemek,ürperti
Bezleme,Saçta pişirilen ince yassı ekmek
Biçki (bıçkı),Odun kesmeye yarayan testere
Bostan,Salatalık
Buldur,Geçen yıl
Campil,Elfeneri ampulü
Ceyran,Elektrik
Çakaloz,Sincap
Çalbara,Küçük bakır tencere
Çaplama,Çit
Çapula,Ayakkabı
Eğercek,Yün eğirmeye yarayan alet
Ekşili,Turşu
Enük,Köpek yavrusu
Eşka,Gölge
Evza,Kibrit
Haçan,Madem ki
Handoşira,Kirpi
Harar,Büyük çuval
Hartama,Eskinde yapılarda çatı örtüsü olarak kullanılan ince tahta
Hızan,Çoluk-çocuk
Hızar,Büyük testere
Hoşafliza,Kertenkele
Hurek,Baykuş
Varagel,Teleferik
Vindo,Kan emici büyük sinek
Vizora,Biberon
Vumbura,Yaban arısı
Zağar,Köpek
Zibil,Çöp
Zirze,Menteşe
Zizil,Küçük solucan
Payanda,Desteklemek amacıyla yanlardan dayanmış direk
Pelit,Meşe ağacı
Peşko(pöşke),Saç soba
Petaliza,Kelebek
Pırtı,Elbise
Pileki (Bileki),Üzerinde ekmek pişirilen ocak taşı
Pitil,Buzağı kursağı
Pontul,Pantolon
Puspuran,Büyük sıçan
Langi,Uçurum
Lapçin(lepcük),Yassı
Lazıt,Mısır
Lenger,Tabak
Levor,Etkileyici kokusu olan yabani bir ot
Lifoz,Dağ çileği
Limanda,İkiz
İfteri,Eğrelti otu
İlistir,Büyük süzgeç
İs,Akıl
soğukkuyu,kara lastik ayakkabı
sohranmak,söylenip durmak
sokum,lokma
sumsuk,yumruk
şaplak,tokat
şemşamer,ayçiçeği
şikarlanmak,nazlanmak
şikirsiz,çirkin
tort,çivili köpek tasması
tuman,pijama veya alt giysi
tump,tarla sınırı
uğunmak,nefesi kesilmek
urubla,bir kiloluk tahıl ölçü birimi
yağarnı,sırt
yanpiri,yan yan yürüme
yelikme,şımarma
yelleme,gaza getirmek. (yelleme akıllı)
yumuş,söz buyurma
zahar,sanırım
zibil,çok bulunan
zaar,herhalde
zaati,zaten
zabit,tutanak
zavara,un ve bulgur kepeği hayvan yiyeceği
zehmeri,kara kış soğuğu
zehre,kışlık tahıl
zelbir,ham kurşundan yapılan saçma
zerzembil,i̇çinde tahıl vs. saklandığı karanlık yer
zıbarmak,ölmek
zırnık vermemek,hiçbir şey vermemek
zikke,totrağa çakılan demir kazık
zillenmek,filizlenmek
zincer,böğürtlrni andıran bikenli bir bitki
zopur,i̇nce ince yağan hafif yağmur
zubban,bir tür kuş
varışın,varınca
vasayıt,binek aracı
velvele,gürültü
verecekli,borçlu
vıcık vıcık,çok sulandırmak
vıddırıvızzık,i̇şe yaramaz nesne
vırtgel,aynı yerde gidip gelme
vıykıraak,bağırmak
vıykırınca,bağırınca
vızır vızır,çarçabuk gelip geçen şey
vızırtı,boş konuşma
vızzık,sigara izmariti
vizzo,huylandırmak
tahra,küçük çalıları kesmeye yarayan alet
taka,tahta çardak
taktacı,tahtacı
taman,dedim ya. yaptım ya. ben sana anahtarı verdim taman
tamaşa,seyir
tandır,üzerinde çörek pişen yassı taş
tantana,boş laf
tapına düşmek,denk düşmek
tapkı,sopa
tarpadan,aniden
taşkala,dalga geçmek
tav,kıvamına gelmek
tavatır,fek güzel
tavlak,ceviz
tavlar,üzerine kapkacak koymak için raflardan oluşan tezgah
tavlı,i̇yi besili
teberik,biricik
teh,çok güzel
teke,erkek keçi
telis,keten torba
tengerek,yuvarlak
tergemek,bırakmak
tesbi,makigillerden bir bitki
teselleme,misal vermek
test,büyük leğen
teşt,leğen
tevir,çeşit
tıngırık,çinko parçası
tırıp,çok pek çok
tırpan,ekin biçmede kullanılan aygıt
tille,beygire yük sarmak için semerin iki yanına halatla yapılan üzengi
tindirik,elin orta parmağıyla vurulan fiske
tingmek,fırlamak
tinkitmek,sıçratmak
tintirik,fiske
tokaç,çul yıkamaya yarayan kalın sopa
toklu,erkek koyun
töde,saman yığını
tuluk,tulum halinde çıkarılmış keçi derisinden yapılan su taşıma aracı
tummak,suya dalmak
tusbaa,kaplumbağa
tük,soğanın başı
heri̇f,koca (eş)
gasbalak,tahta bahçe kapisi
bildir,geçmi̇ş yil
mi̇ntan,gömlek
i̇çli̇k,i̇ç çamaşiri
tehne,el bezi̇
kalik,kara lasti̇k
hiriğ,eski̇mi̇ş ayakkabi
çemçe,yemek kepçesi̇
halbur,elek
sac üstü,gözleme
kömbe,börek
musur,hayvan yemleme bölmeleri̇
kom,davar yeri̇
löbet,nöbet
mih,çi̇vi̇
dam,çati
log,si̇li̇ndi̇r
çağil,tarladaki̇ taş-kaya yiğini
cövüz,cevi̇z
alma,elma
berge,kayisi
gaya,kaya
gabağ,kabak
pantul,pantolon
mayis,büyük hayvan dişkisi
ahbun,hayvan gübresi̇
peşgi̇r,havlu
iccag,sicak
kuruk,eşşek sipasi
çi̇r,kayisi-elma-armut gi̇bi̇ meyve kurusu
elekçi̇,çi̇ngene
eni̇k,köpek yavrusu
çul,çuval
peleder,armut reçeli̇
goşkuz,yer elmasi
şora,şurasi
pi̇si̇k,kedi̇
i̇skembe,sandalye
pi̇rçekli̇,havuç
serçe,kuş
kasket,şapka
fasi̇lye,fasulye
irgat,i̇şçi̇
kürze,su testi̇si̇
cari,çabuk
dari,misir
kaygana,omlet
damatez,domates
gazel,kuru yaprak
gög,olmamiş sebze-meyve
oğul,yavru ari
giyih,büyük i̇ğne
güz,sonbahar
özeme,ayran
gatih,yaği alinmiş ayran
kakuç,çeki̇ç
ganatli,büyük çi̇ft kanatli kapi
baytar,veteri̇ner
gulunç,omuz kemi̇ği̇
göbek,mantar
döşşek,yün yatak
çerçi̇,seyyar satici
ebem kuşaği,gök kuşaği
çoluğ,hayvan baği
yular,at-eşşek baği
merkep,eşşek
böür,böbrek
emi̇,amca
bi̇bi̇,hala
ebe,anne
kenef,tuvalaet
zi̇fi̇r,karanlik
herle,un i̇le yapilan çorba
dahana,i̇şaret etme keli̇mesi̇
gurmuk,hamur bezesi̇
hatil,taş duvar bağlanti ağaci
azma,selvi̇ni̇n çok kalin olani
ok,ev tavaninda kullanilan ağaç
pöslük,çöp toplama alani
malamat,rezi̇l olmak
tenhe,issiz
can çikti,tarlada 5 çayi
heybe,eşya çantasi
mi̇ntak,kapakli plasti̇k kap
baci̇,kiz kardeş
gardaş,kardeş
yunmak / yumak,yikanmak / yikamak
ufalama,parçalama
çi̇mmek,banyo yapmak
hişikli,sürekli̇ hasta olan
cumur,ekmek tereyaği yumurta karişimi
tum,tarla siniri
tokkaç,yün ve çamaşir dövme tahtasi
tiğiç,yemek pi̇şi̇ri̇li̇rken kullanilan kariştirici
kuçuk,1 yaşina gi̇rmemi̇ş köpek yavrusu
hüllelemek,firlatmak / atmak
camız,manda
cardın,farenin büyüğü
carsa,bir kumaş türü
celfin,piliç
cemkirmek,gereksizce bağırmak
cescevlek,biçimsiz
cıba,domuz yavrusu
cıkıl,madeni para
cılk,bozulmuş yumurta
cırnavık,ağustos böceği
cilkes,tamamen
cirpinti,maki türü
cuvara,sigara
cüllük,hartlap ağacının meyvesi
çaal,genellikle tarlaların kullanılmayan yerindeki toplanan taş yığını
çandır,1.gelişmemiş 2.karışık durum
çapa,1.tarlada ürünlerin arasını süren tarım aleti 2.büyük kazma
çardak,evin dışında oturmak için kullanılan “kamelya”
çarık,topuğu bükülmüş ayakkabı
çarpana,kuş avlamak için kullanılan lastiklerde (sapan) içine taş konulan deri bölüm
çatalavrat,bir böcek türü
çatırtı,herhangi bir şeyin ani veya hızlı ses çıkarması
çaygara,su içmek için su kaynağının önüne yapılmış küçük havuzcuk
çebiç,oğlağın büyüğü
çekişmek,ağız kavgası
çeltik,pirincin tarladaki hali
çenedini ayırmak,bacaklarından ayırmak
çepel,bulaşık
çeten,traktörde römorkun üzerine tahtalarla ilave yapılmış şekli
çetil,fide
çevrengeç,suyun döndüğü yer. kıvrımlı akıntı
çıkla,tamamen
çıngıl,küçük dal
çınkı,parça
çıtımık,menengiç ağacı
çıtırtı,herhangi bir şeyin etkisiyle çıkan küçük ses
çili,pamuğun çiğ yağdıktan sonra kabuğuyla beraber toplanması
çilpik,küçük parça
çinçik,kuş
çinke,küçük parça (saydam taş için de kullanılır)
çotul,ağacın kollarının ilk ayrıldığı yer
çömçe,büyük tahta kaşık
çüven,davulun tokmağı
goddik,ukala
gontak,araba anahtarı
goo etmek,dedi kodu etmek
goza çıbıı,pamuğun yapraksız çubuğu
göbelek,mantar
göcek güpre,buğdayların göceklemesi (çoğalması) için atılan gübre
göde,şişman
gökgülü sarı,göğüs kısmı sarı olan küçük bir kuş türü
gön,deri
göööm,olgunlaşmamış
götün götün gitmek,geri geri gitmek
gubarmak,şişmek
gumbilis,komunist
gunnacı,gebe
gurmut,ahlat türü
guruyer,gündüzü gayışkanat
guşana,küçük leğen
guvan,kovan
guyruu tıpılatmak,can vermek (guyru titiretmek)
gülle,bilye
gümbür,ağaç yayık
haçan bürülan,ne çabuk bre ulan
haçan,ne çabuk
hakına,yavrulamamış keçi
halbır,kalbur
halep garası,yeşil karpuz türü
hambalis,aşılı mersin (maki türü)
hamzan,tereyağı saklanan kap
hapban gımı,bir parçanın tamamıyla istenilen yere düşmesi
hapban,kuş tutmak için yapılan kapan
haral (harar),ketenden yapılmış büyük çuval
hardalatsız,biçimsiz
hartlap,kocayemiş
hasta yoklamak,hasta ziyaret etmek
hebil,yabani sarmaşık
helik,küçük taş parçası
hellenmek,sallanmak
herif,bey
hetif,üzüm döküntüsü
hıllangaç,salıncak
hıncırık,hayvanların tekmesi
hışgımı,epeyce
hışırlı,pamuğun kabuğuyla toplanmış hali
hıta,acur
holungu,büyük sopa
hombuluna almak,omuzlarına almak
hopilik,tohum
hopuna almak,sırtına almak
horum,susamın sapıyla beraber kurutulması için belinden bağlanmış ve
horuzlanmak,diklenmek
hoşarlanmak,hoşuna gitmek
hozak,olgunlaşmamış incir
hozu,kanı soğuk
hörtük,i̇şe yaramaz
hu,saptan yapılan korunak
huzulu masraf (fuzuli),gereksiz yapılan harcama
hümzünmek,yeltenmek
hüs,sus
ırbık,i̇brik
ışgıya,eşkıya
ışımadan,şafak sökmeden
ısmarıç,sipariş
ibili,i̇bibik kuşu
iliksiz,yaramaz
ineemen,kertenkele benzeri bir sürüngen
it gılı,postal bağı
garaböcük,domuz
kakılı,çok
keçik,yazmanın kakül görünecek şekilde bağlanması
kehni,kazma
kekre,çalmak (tadının ekşi veya acıya yakın olması)
kele,bayanlar için kullanılan samimi ifade
kelekesten,kertenkele
kepmek,dik duran bir şeyin yıkılması
kerçine getirmek,ters davranmak
kertiş,kertenkele
keskenmek,vurmak için harekete geçmek
kesme,meşe çeşidi
keşkere,malzeme taşımak için iki ağaç üzerine üç tarafı kapalı araç
kilden tas,(anlamı belirtilmemiş)
kildirmek,fırlatmak
kirmen,yünden ip yapar
kirtik,sabunun en küçük hali
kirtilini çıkarmak,i̇liklerini sökmek
kökgüç,ucu sivri sopa
kömeç,yaprakları yemek yapmada kullanılan bitki
kör tapa,sulama borularının en ucuna takılan tapa
köre,demir aletlerinin yapıldığı yer
köryapalak,yarasa
köşt,i̇skemle
köynek,eskiden gömlek yerine geçen bir giyecek
kücü,halı ve kilim dokumak için kurulan tezgahta ipleri tutan kalın sopa
kümül,bkz. horum
küncü baalası,susamları sapıyla beraber kurutmak için bağlanmış hali
küncü,susam
künde,her gün
kürt bülbülü,kuş türü
küşne,burçak
labıt,demir parçası
laylon,römork
lemerme,nemlenme
lepe,1. bulgur veya pirinçten yapılan bir tür yemek. 2. nohutun ıslatılıp kurutulduktan sonra dövülmesinden elde edilen yemek
loş,düğün yemeği
löküs,elektriksiz çalışan aydınlatma aracı
maa,uzun ağaç
malamat olmak,rezil olmak
manca,domates salatası
mavra kesmek,sohbet etmek
araz,dilsiz
arsınmak,utanmak
arsuz,utanmaz
aşurma,kulplu kazan
aşhane (aşane),mutfak
avut,ağlama
avut dökmek,ağlamak
aya,avuç içi
ayrık,yabani ot
ayahcah,merdiven
aze,vücut
azık,yiyecek
badal,merdiven basamağı
badı,ördek
badem parmak,ișaret parmağı
baldırgan (baldırcan),patlıcan
bannakh,parmak
bayahdan,biraz önce
bazlama,sac ekmeği
beleş,bedava
beslek (besleme),ileride evlendirilmek üzere küçük yaşta alıp büyütülen kimsesiz ya da yoksul çocuk
becit,acele
belemek,çocuğu kundağına sağıp yatırmak
biçala,kısa bir an
biyo,bir kere
bisokum,bir lokma
bostan,karpuz
böcük,haşere
börk,bere
böyük,büyük
buymuş,donmuş
cağ,banyo ihtiyacını gidermek için yapılmış yer
camış,manda
cebelleşmek,tartışmak
ceylan,elektrik
cınnak,tırnak
cırcır,fermuar
cırıt,hızlı yürümek
cıv,kamış
cibbik,alkış
cula,karga
culfalık,kilim dokuma tezgahı
cücük,civciv
çalkalama,ayran
çamdı,ters tavan
çaylık,uzun kadın donu
çaluntu,felçli
çapak,göz iltihabı
çedik,çocuk ayakkabısı
çekü,yazma
çemüt,dut kurusu
çemüş,kuru üzüm
çemçük,çirkin
çerez,leblebi
çene,köşe başı
çenileme,köpeğin havlaması
çıkı,bohça
cılbır,yöresel bir yiyecek
çıt,tel anahtar
çir,zerdali kurusu
çiğ,kırağı
çiğit,meyve çekirdeği
çipil,çalı çırpı
çise,ince yağmur
çitil,çalı çırpı
çitilemek,dikmek
çoh,çok
dakanak,takıntı
daklaşma,sataşma
dalak,bal peteği
dalamak,yün giyisilerin vücutta kaşıntı yapması
dallama,yelek
dangadak,aniden
dastar,ekmek bohçası
daşdar,sofra bezi
davar,koyun
debellenmek,yuvarlanmak
değirmi,yuvarlak
demin,az önce
demra,egzama
dene,buğday tanesi
depmük (dekmük),tekme
depmez deşürmez olmak,çok zengin olmak
deyyus,kötü adam
dıga,çocuk
dıhmak (dıhınmak),yemek
dilliksiz,yaramaz
dikelmek,karşı koymak
dirgen,harman yerinde kullanılan ağaçtan yapılmış iki çatallı alet
dolukmak,üzüntüden ağlayacak hale gelmek
döngel,muşmula
döşürmek,dilenmek
döş,göğüs
döşek,yatak
düğülcek,dolu
düve,dana
ecücük,azıcık
eccük,biraz
eke,tecrübeli
ellik,eldiven
elleşmek,dolu çuvalı iki kişi birlikte kaldırmak
eme,babanın kız kardeşi
enteri,kadın elbisesi
enük,kedi ya da köpek yavrusu
enek,bilye
engür,üzüm tanesi
ersün,hamur keseceği
erişte,ev makarnası
esbap,çamaşır
eşgi,salça
eşelek,elma gibi meyvelerin yedikten sonra kalan kısmı
eşik,kapı girişi
evcüman,evine bağlı erkek
eyüğü,kaburga kemiği
fak,fare kapanı
fenikmek,başı dönmek
fermanı kesilmek,güçsüz düşmek
fırdolayı,çepçevre
fışkı (fışgı),hayvan gübresi
fizah,feryat
gabalak,iri
gahırdak,koyun kuyruğunun kavrulmuşu
gaddem,parça kadar
galuk (galuh),evde kalmış kız
gatık,yağsız ekşi ayran
gamga,yontulmuş ağaç parçası
garanluh,karanlık
gatmer,bir çeşit ekmek
gavah,kavak
gaypak,sözünde durmayan
gebre,at tımarında kullanılan alet
geçi,keçi
gennaba (genaba),gelin abla
gıymık (gıymıh),ağaçtan yontulmuş iğne küçüklüğünde parça
gıbal,dış görünüş
gıdık,keçi yavrusu
gırmaşmak,kımıldamak
gız,kız
gidik,koyun yavrusu
gilavadar,üzüm asması
gilik,parça
gişi,evli erkek
gorhu,korku
goynek,gömlek
goyvermek,serbest bırakmak
gödek,kısa boylu
göğ,mavi
gurk,kuluçkaya yatan tavuk
guşluk vakti,sabahla öğle arası
gümele,çalı çırpıdan yapılmış bağ ya da tarla evi
gümbüden,birdenbire
hela,tuvalet
helki,kova
hedik,pişirilmiş buğday
hemi,öyle mi
heri,sen de
heğ,küfe
heyiklemek,gözetlemek
hıngel,yöresel bir yemek
hoğlamak,sürmek
hökelek,iriyarı
ırah,uzak
ırgat,amele
ilağançe (ilağan),leğen
içerlemek,alınıp üzülmek
ikinnedi,ilkindi vakti
ilenger,büyük bakır sahan
ilisdir,kevgir
ilik,düğme
isgembi,sandalye
işgefe (işkefe),yöresel yufka ekmeği
işgillenmek,şüphelenmek
işlik,gömlek
işmar,göz kırpma
işgilli,alıngan
kayış,kemer
kelem,lahana
keşik,sıra
kelik,eski ayakkabı
kekeç,kekeme
kepenek,kelebek
kesan (kesağan),büyük fare
kesmük,harmanda iyi dövülmediğinden iri kalan sap
kezek,tezek
öğlennedi,öğle vakti
öğür,yavrulayacak inek
öle,öyle
öllük,bebeklerin kundaklarına ısıtılarak konulan çok ince killi toprak
övendere,ucu çivili uzun değnek
özeleme,yoğurt çalkalama
parsı,baca başı
pelver,salça
peşisire,arkasından
petni,hayvan yemliği
pırtı,kumaş
pırtıcı,manifaturacı
pin,kümes
pinnik,kümes
pisik,kedi
poşuş,kiriş
pöşgür,peçete
pürpürüm,semizotu
pürçekli,havuç
razu,razı
saku (sahu),ceket
savucu,süt sağan
sede,sadece
seyip,başıboş
seğirtmek,hızlı koşmak
sıyırgı,tahta kürek
sıvışmak,sessizce kaybolmak
sini,tepsi
sitil,küçük bakır kova
sindik,civa sülfür
sorutmak,ayakta durmak
soku,bulgur döğülen içi oyuk taş
sofa,salon
sonak,mısır koçanı
sokum (sohum),lokma
suluh,hamam havlusu
sümsük,pisboğaz
tanış,tanıdık
tavatir,çok iyi
tazu,tazı
tebelleş,bir kimsenin diğerini kızdıracak şekilde ilgilenmesi
telek,kümes hayvanlarının kanat tüyleri
temek,ahır penceresi
temelli,devamlı
tentene,dantel
terek,raf
terpoşlu,kapaklı bakır kap
teyin,sincap
tığ,harman yerindeki saman yığını
tirki,ağaçtan oyulmuş tas
toh,köpek tasması
toha,kemer
tok,çivili köpek tasması
tokuç,çamaşır yıkarken kullanılan tahta
tola,kuyu kovası
tosbağa,kaplumbağa
tostan,human pisliğiyle beslenen bir tür böcek
tosun,erkek inek
toyga,yoğurtlu çorba
töremek,üremek
tumman,don
uşak,çocuk
üleş,hayvan leşi
ütme,ateşte pişirilmiş kurumamış buğday başağı
ütmek,oyunda veya idada kazanmak
yal,köpek maması
yalak,yal verilen kap
yampiri,eğri
yanıgara,şarbon hastalığı
yanyanuç,yengeç
yassu,yatsı vakti
yazu,arazi
yel,rüzgar
yeşillik,bahçe(bağ)
yığın,ot yığını
yuğmak,yıkamak
yüğürtmek,koşmak
zavzu,salatalık
zağar,sağır
zemheri,kara kış
zerzebil,perişan
zıkkım,haram
zırana,düşüncesiz
zopa,dayak
zorunan,zorla
anıh,nane
allak,fitne-fesat
arruta,sevilen küçük kız çocuklarına denir
ariş,üzüm asması
ayahçak,merdiven
ayem,hava
ayakyolu,tuvalet
buyma,üşümeden dolayı donacak hale gelme
beden dibi,sur dibi
bervanik,önlük
bicik,buzağı
bilik,bir çeşit tandır ekmeği
boyna,daima
carı,çabuk
cecim,kilim
cıbıl,züğürt
cılğa,i̇nce patika yol
cılkıtma (cığızlama),oyun bozma
cünüt,bataklık
çaput,bez parçası
çapik,alkış
çabik,acele
çağa,çocuk
çıtma,fiske
çirçirik,ağustos böceği
dapınmak,ara ara uyumak (şekerleme yapmak)
de-ya,i̇şte orası
dehliz,üstü kapalı geçit
deyirmi,yuvarlak
ellam,herhalde
elpikleme,tahılı tepirle samandan ayırma işi
erbet/aşeret,acayip
erinme,üşenme
eyin-öyün,baştan savma
efil-efil,rüzgâr esmesi
efin tefin,darmadağın
fenikme,bunalma
fırfırik,fırıldak
fırt,yudum
gangırma,bükmek-eğmek
gidişme,kaşınma
gıcıktırma,kızdırma
göyünme,yanmaya yüz tutmuş
gevende,geveze
gever,bahçe küçük bölüm
guzlacı,doğuracak hayvan
goruk,olmamış üzüm
govik,huni
gıdik,oğlak
hele ki,i̇yiki
hezacı,hile yapma
him,bina temeli
hakket,hakikaten
hıtap,pide çeşidi
hış ter,aşırı terlemek
ikınma,bir işi zorlanarak yapma
i̇leç,bahis
i̇lenme,çığlık atma
i̇çme,ilıca
kulunç,i̇ki omuz arası
kındırik,ufak tefek
kırtik,biraz
kırcik,taşla oynanan mahalli bir oyun
keçeşme,uyuşma
kızzılkurt,kızgınlıkla söylenen bir sözcük
kurrik,sıpa
kantarma,kemerli yapı
köme,yığın
kodafa,bir çeşit sepet
kuşgana,tencere
kortik,çukur
lappıdana,ortadan konuşma
lüllük,musluk
lülük,bir sıkımlık köfte
lığlama,yuvarlanma
mered,ölenden kalan işe yaramaz şey
mitil,eskimiş yatak
mıt-mıt,yavaş yavaş
nıkıs,eli sıkı cimri
niniyesen,sanane
oğunma,bayılma
onat,doğru
onartmak,tamir ettirmek
o’saat,anında
özü baymak,acımak
öykünme,taklit etme
pallikleme,elle yoklama
pezzik,sebzenin yapraklı kısmı
papur yolu,kırkgöz köprüsünden geçen eski ipek yolu
sındı,makas
silepce,abdest kabı
sırpıncak,kaygan
surha,angarya
şapşak,su kabı
şuka,pestilinkatlanmış şekli
şakuka,yabani süslü kabak
şorik,tükürük
teze yağ,tereyağı
totaba,hizmetçi kız
tevek,üzüm yaprağı
tor,yabani hayvan
tohlu,bir yaşında erkek kuzu
urğunurğun,gizli gizli
yarenlik,latife
yanpeş,yan yan yürüyen
zarha,buğdaydan yapılmış kuru gıdaların tümü
zoku/soku,büyük taş dibek
zağal,tembel
cırtatan,acı yabani kavun
cıvcık,serçe kuşu
"""cıvık""""""",oynak
cıymalamak,tartaklamak ve tırnak atmak
cibinlik,sineklerden kurtulmak için örtülen ince tül
cilbirtin,ağıl yapmakta kullanılan akdeniz tipi çalı
cindarı,patlayan mısır
cimciklemek,çimdiklemek
